model,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std
Ridge regression,45.0604351940748,1.9511966165110561,0.4797432826951823,0.038925384400143107
Random forest,47.75515945789425,2.523462818679516,0.4267045050102696,0.06665148885306482
